epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,418.078,1.62526,1.83535,1.25773,0.74427,0.70549,0.74494,0.40253,1.43275,1.31775,1.18987,0.00333168,0.00333168,0.00333168
2,807.594,1.55577,1.23883,1.19597,0.7703,0.70768,0.76557,0.41526,1.45846,1.10942,1.2061,0.00664502,0.00664502,0.00664502
3,1190.09,1.57697,1.18018,1.2143,0.74408,0.68117,0.72606,0.38325,1.5015,1.1062,1.23628,0.00993835,0.00993835,0.00993835
4,1568.97,1.58047,1.11999,1.22135,0.76871,0.72387,0.76223,0.40796,1.45522,1.01953,1.21784,0.00991,0.00991,0.00991
5,1947.9,1.56699,1.06019,1.21294,0.77621,0.73411,0.77409,0.43429,1.42476,0.98113,1.20542,0.00988,0.00988,0.00988
6,2327.6,1.54794,1.00521,1.20182,0.81464,0.73218,0.79361,0.45253,1.42179,0.96112,1.20471,0.00985,0.00985,0.00985
1,267.912,1.63192,1.83586,1.23911,0.75871,0.70698,0.75454,0.41832,1.44502,1.28881,1.18787,0.00332892,0.00332892,0.00332892
2,521.448,1.55893,1.18369,1.17341,0.76578,0.68653,0.74784,0.39777,1.48801,1.17217,1.21757,0.00664027,0.00664027,0.00664027
3,770.677,1.57812,1.12771,1.18307,0.77321,0.69766,0.7394,0.39245,1.49208,1.13398,1.22037,0.00992961,0.00992961,0.00992961
4,1016.22,1.58992,1.06999,1.1946,0.7693,0.7065,0.74422,0.40361,1.47384,1.03821,1.21398,0.009901,0.009901,0.009901
5,1262.54,1.56212,0.99579,1.18518,0.8219,0.71237,0.78012,0.43549,1.45364,0.99855,1.21257,0.009868,0.009868,0.009868
6,1507.98,1.54117,0.95608,1.17578,0.81404,0.74587,0.80076,0.44045,1.43109,0.941,1.19598,0.009835,0.009835,0.009835
7,1753.15,1.52481,0.93127,1.16872,0.81057,0.75512,0.81025,0.45571,1.41704,0.90584,1.17732,0.009802,0.009802,0.009802
8,1998.89,1.50391,0.89815,1.15798,0.83064,0.76355,0.82765,0.46733,1.42152,0.88007,1.1856,0.009769,0.009769,0.009769
9,2243.97,1.49357,0.88559,1.15642,0.83061,0.76685,0.83022,0.47746,1.39637,0.87783,1.17703,0.009736,0.009736,0.009736
10,2489.34,1.4873,0.86348,1.15046,0.81337,0.77587,0.82048,0.46936,1.38619,0.85282,1.17047,0.009703,0.009703,0.009703
11,2734.22,1.47712,0.85057,1.14441,0.82136,0.78151,0.83066,0.48119,1.3818,0.8395,1.15781,0.00967,0.00967,0.00967
12,2979.35,1.48324,0.84909,1.14671,0.81026,0.79725,0.82751,0.48176,1.37949,0.83307,1.16102,0.009637,0.009637,0.009637
13,3224.21,1.46901,0.83678,1.14365,0.82196,0.78567,0.8233,0.48369,1.36707,0.82976,1.15315,0.009604,0.009604,0.009604
14,3468.83,1.4627,0.82472,1.13732,0.83251,0.80209,0.84685,0.49253,1.36832,0.81731,1.15338,0.009571,0.009571,0.009571
15,3713.54,1.46258,0.82216,1.13774,0.83096,0.80476,0.8422,0.49216,1.35627,0.81702,1.14214,0.009538,0.009538,0.009538
16,3958.49,1.45622,0.81208,1.13462,0.8374,0.78567,0.84635,0.49973,1.35149,0.79995,1.14658,0.009505,0.009505,0.009505
17,4203.31,1.44691,0.8033,1.13597,0.84456,0.80213,0.85334,0.50363,1.36229,0.79342,1.14863,0.009472,0.009472,0.009472
18,4447.92,1.4441,0.79899,1.13018,0.82695,0.80876,0.84573,0.50201,1.34798,0.7858,1.14136,0.009439,0.009439,0.009439
19,4692.72,1.44303,0.79617,1.12648,0.84306,0.80867,0.85474,0.51142,1.33696,0.77933,1.13633,0.009406,0.009406,0.009406
20,4936.74,1.43226,0.78356,1.12803,0.84982,0.80744,0.86138,0.51469,1.33315,0.76313,1.1376,0.009373,0.009373,0.009373
21,5181.43,1.44475,0.78679,1.12601,0.85665,0.81899,0.86296,0.52034,1.33157,0.75787,1.13195,0.00934,0.00934,0.00934
22,5426.24,1.43555,0.78327,1.12755,0.84606,0.81516,0.86205,0.51762,1.32339,0.76096,1.12878,0.009307,0.009307,0.009307
23,5671.24,1.4377,0.77791,1.12238,0.85866,0.80526,0.85954,0.51667,1.33322,0.75448,1.13511,0.009274,0.009274,0.009274
24,5916.21,1.42807,0.76999,1.11977,0.8429,0.8107,0.85994,0.5142,1.32966,0.7626,1.13278,0.009241,0.009241,0.009241
25,6161.45,1.41515,0.76494,1.11747,0.86739,0.81214,0.86152,0.5171,1.32697,0.75196,1.13072,0.009208,0.009208,0.009208
26,6406.97,1.41573,0.76617,1.12144,0.86314,0.80926,0.86026,0.52411,1.3135,0.74146,1.12161,0.009175,0.009175,0.009175
27,6652.57,1.41751,0.76016,1.11795,0.84659,0.82257,0.85994,0.51966,1.31755,0.74332,1.12013,0.009142,0.009142,0.009142
28,6897.61,1.42044,0.76632,1.11531,0.85685,0.82225,0.86519,0.52182,1.31835,0.73888,1.12364,0.009109,0.009109,0.009109
29,7142.48,1.41151,0.75607,1.1153,0.86732,0.81732,0.86826,0.52687,1.31026,0.73139,1.12192,0.009076,0.009076,0.009076
30,7387.06,1.4119,0.75406,1.11305,0.85676,0.82619,0.87165,0.52891,1.31415,0.72233,1.12006,0.009043,0.009043,0.009043
31,7631.51,1.4142,0.75384,1.11257,0.84488,0.83636,0.8711,0.53257,1.30545,0.72745,1.11829,0.00901,0.00901,0.00901
32,7876.14,1.41207,0.7502,1.1111,0.87339,0.81532,0.86974,0.52594,1.31342,0.72866,1.11971,0.008977,0.008977,0.008977
33,8120.53,1.4071,0.74855,1.11186,0.86568,0.81457,0.87091,0.53177,1.30492,0.72397,1.11728,0.008944,0.008944,0.008944
34,8365.28,1.40169,0.74507,1.10843,0.85684,0.82856,0.87002,0.53212,1.29728,0.71146,1.11035,0.008911,0.008911,0.008911
35,8610.1,1.39871,0.74288,1.10774,0.86322,0.84555,0.87928,0.53757,1.29901,0.71327,1.11,0.008878,0.008878,0.008878
36,8857.49,1.40592,0.74088,1.10462,0.86308,0.82881,0.87497,0.53667,1.29637,0.711,1.10906,0.008845,0.008845,0.008845
37,9105.46,1.40347,0.73886,1.10602,0.86372,0.83081,0.87613,0.53594,1.29829,0.71167,1.111,0.008812,0.008812,0.008812
38,9351.1,1.39558,0.73693,1.1066,0.85956,0.83465,0.88033,0.54036,1.29405,0.70064,1.11181,0.008779,0.008779,0.008779
39,9596.63,1.39848,0.72935,1.10381,0.84891,0.83461,0.87222,0.53729,1.29415,0.70922,1.10815,0.008746,0.008746,0.008746
40,9841.65,1.39081,0.73199,1.10159,0.86135,0.82049,0.87043,0.53641,1.29118,0.70274,1.10687,0.008713,0.008713,0.008713
41,10086.4,1.39455,0.72772,1.10638,0.86749,0.82565,0.87614,0.54107,1.28936,0.69842,1.10631,0.00868,0.00868,0.00868
42,10331.6,1.38974,0.72405,1.10513,0.86465,0.82226,0.87397,0.54002,1.28616,0.699,1.10665,0.008647,0.008647,0.008647
43,10576.3,1.38676,0.72527,1.10615,0.86909,0.82341,0.87483,0.53714,1.28941,0.70272,1.10918,0.008614,0.008614,0.008614
44,10821.1,1.3842,0.72164,1.10134,0.86221,0.83523,0.87608,0.54107,1.28708,0.68998,1.10627,0.008581,0.008581,0.008581
45,11066.8,1.38465,0.7233,1.10045,0.87167,0.8334,0.87967,0.54643,1.27993,0.68851,1.10271,0.008548,0.008548,0.008548
46,11312,1.38679,0.72266,1.09896,0.86683,0.83421,0.87822,0.54649,1.28093,0.69393,1.10337,0.008515,0.008515,0.008515
47,11556.2,1.37854,0.71891,1.09941,0.87053,0.82792,0.87655,0.54208,1.28275,0.69338,1.10261,0.008482,0.008482,0.008482
48,11801.3,1.3869,0.72001,1.09578,0.86389,0.83299,0.87497,0.54265,1.28016,0.68799,1.09883,0.008449,0.008449,0.008449
49,12045.9,1.3807,0.71481,1.09874,0.87281,0.82814,0.87674,0.54506,1.27549,0.68382,1.09875,0.008416,0.008416,0.008416
50,12291.1,1.38215,0.71312,1.09603,0.86502,0.83407,0.87811,0.54491,1.27593,0.68336,1.099,0.008383,0.008383,0.008383
51,12535.9,1.37633,0.7131,1.09346,0.85992,0.84444,0.87917,0.5468,1.27458,0.6844,1.09478,0.00835,0.00835,0.00835
52,12781.6,1.37874,0.71094,1.09547,0.86493,0.84029,0.87898,0.54589,1.27326,0.68349,1.0932,0.008317,0.008317,0.008317
53,13026.5,1.37038,0.70445,1.09415,0.86804,0.83999,0.87715,0.54336,1.27498,0.68587,1.09627,0.008284,0.008284,0.008284
54,13271.3,1.37405,0.70904,1.09725,0.862,0.84012,0.87669,0.54476,1.27403,0.68296,1.09732,0.008251,0.008251,0.008251
55,13516.7,1.37468,0.7045,1.09202,0.86266,0.84488,0.87718,0.54573,1.27313,0.68297,1.09493,0.008218,0.008218,0.008218
56,13761.5,1.37299,0.70909,1.09337,0.86243,0.84424,0.88116,0.54881,1.27641,0.68033,1.09688,0.008185,0.008185,0.008185
