epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,162.817,1.36587,0.66504,1.09632,0.85524,0.81393,0.86438,0.52584,1.2929,0.69724,1.09403,0.000416023,0.000416023,0.000416023
2,306.286,1.38569,0.71305,1.11195,0.84485,0.82133,0.86158,0.50902,1.30768,0.74963,1.11514,0.000822385,0.000822385,0.000822385
3,446.037,1.39601,0.74207,1.114,0.86277,0.80755,0.86263,0.5137,1.31667,0.72233,1.12394,0.00121843,0.00121843,0.00121843
4,584.632,1.41114,0.74376,1.12279,0.83335,0.79507,0.8443,0.48892,1.33624,0.73914,1.13619,0.00120359,0.00120359,0.00120359
5,723.097,1.40945,0.74874,1.12161,0.83855,0.81775,0.85063,0.50092,1.3277,0.75791,1.12514,0.00118812,0.00118812,0.00118812
6,861.26,1.39734,0.74412,1.11877,0.84868,0.79469,0.85107,0.49935,1.32096,0.76379,1.12215,0.00117266,0.00117266,0.00117266
7,999.76,1.39293,0.73991,1.11501,0.85793,0.80613,0.85194,0.50957,1.30943,0.74225,1.11723,0.00115719,0.00115719,0.00115719
8,1137.69,1.39556,0.72546,1.1043,0.84428,0.8033,0.85017,0.49441,1.32408,0.71142,1.12715,0.00114172,0.00114172,0.00114172
9,1276.1,1.38592,0.72806,1.1116,0.83965,0.79732,0.84851,0.50334,1.31519,0.73148,1.11988,0.00112625,0.00112625,0.00112625
10,1414.38,1.3774,0.7152,1.1061,0.8387,0.80632,0.85496,0.50589,1.33322,0.7433,1.13669,0.00111078,0.00111078,0.00111078
11,1553.07,1.3796,0.71618,1.10617,0.85233,0.79294,0.84753,0.50317,1.32346,0.76073,1.13322,0.00109531,0.00109531,0.00109531
12,1691.3,1.37105,0.70974,1.108,0.85703,0.81207,0.86116,0.51545,1.30457,0.73185,1.11479,0.00107984,0.00107984,0.00107984
13,1829.53,1.36539,0.7033,1.10159,0.86644,0.79866,0.85624,0.50922,1.32182,0.7308,1.12029,0.00106437,0.00106437,0.00106437
14,1968.11,1.3682,0.70133,1.10069,0.86565,0.81147,0.86025,0.51305,1.31531,0.73267,1.11678,0.00104891,0.00104891,0.00104891
15,2106.7,1.37228,0.70416,1.0981,0.84001,0.8157,0.86495,0.51781,1.31847,0.73862,1.12028,0.00103344,0.00103344,0.00103344
16,2245.36,1.36583,0.70312,1.09302,0.86506,0.79712,0.85745,0.51758,1.31315,0.73879,1.12188,0.00101797,0.00101797,0.00101797
17,2384.03,1.3635,0.69363,1.09695,0.85391,0.80466,0.85612,0.50837,1.3068,0.72703,1.11643,0.0010025,0.0010025,0.0010025
18,2522.47,1.34713,0.68419,1.09065,0.87831,0.79351,0.85761,0.51299,1.30213,0.72671,1.1086,0.000987031,0.000987031,0.000987031
19,2661.26,1.34461,0.6814,1.08702,0.86346,0.80501,0.86025,0.51314,1.29881,0.71447,1.11279,0.000971562,0.000971562,0.000971562
20,2799.82,1.33564,0.6752,1.08844,0.86644,0.80518,0.86305,0.51793,1.31285,0.70773,1.12535,0.000956094,0.000956094,0.000956094
