epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,431.517,1.46436,0.72764,1.2863,0.82947,0.79518,0.83811,0.48847,1.38824,0.78198,1.32955,0.000416023,0.000416023,0.000416023
2,849.839,1.46359,0.76015,1.28906,0.82034,0.76429,0.8262,0.47481,1.40167,0.83244,1.35787,0.000822385,0.000822385,0.000822385
3,1280.33,1.45552,0.78258,1.29333,0.83778,0.7837,0.84289,0.48842,1.39443,0.80198,1.36509,0.00121843,0.00121843,0.00121843
4,1695.76,1.46978,0.78676,1.29994,0.82118,0.77721,0.83687,0.48358,1.38221,0.81471,1.34892,0.00120359,0.00120359,0.00120359
5,2111.42,1.46755,0.77983,1.30136,0.81563,0.79707,0.83463,0.48009,1.39693,0.83756,1.36384,0.00118812,0.00118812,0.00118812
6,2526.89,1.44816,0.76984,1.29312,0.80824,0.79525,0.82974,0.48526,1.38325,0.82654,1.3538,0.00117266,0.00117266,0.00117266
7,2940.57,1.43506,0.75572,1.28146,0.83253,0.80553,0.85034,0.49077,1.39002,0.81156,1.35321,0.00115719,0.00115719,0.00115719
8,3356.15,1.4479,0.74599,1.27788,0.83094,0.80636,0.8464,0.48985,1.37627,0.7589,1.34122,0.00114172,0.00114172,0.00114172
9,3770.38,1.43385,0.74487,1.27528,0.82937,0.80282,0.83746,0.48542,1.39671,0.79161,1.35873,0.00112625,0.00112625,0.00112625
10,4184.96,1.42124,0.73018,1.27322,0.83862,0.8121,0.86345,0.49619,1.39442,0.78602,1.35546,0.00111078,0.00111078,0.00111078
11,4599.18,1.42013,0.73018,1.27746,0.81867,0.80292,0.84668,0.49784,1.37034,0.78579,1.34981,0.00109531,0.00109531,0.00109531
12,5013.14,1.40949,0.72069,1.27434,0.82971,0.81443,0.85131,0.5034,1.36986,0.77575,1.33482,0.00107984,0.00107984,0.00107984
13,5427.51,1.40832,0.71314,1.26716,0.82586,0.81205,0.85033,0.49006,1.40483,0.78684,1.3636,0.00106437,0.00106437,0.00106437
14,5842.41,1.41464,0.70731,1.26782,0.8478,0.79935,0.85328,0.5039,1.3735,0.76631,1.34543,0.00104891,0.00104891,0.00104891
15,6257.86,1.41498,0.71326,1.26793,0.82971,0.80979,0.85035,0.49644,1.37521,0.77414,1.33581,0.00103344,0.00103344,0.00103344
16,6672.55,1.40895,0.70519,1.24952,0.85225,0.81123,0.85859,0.50563,1.37571,0.76936,1.33617,0.00101797,0.00101797,0.00101797
17,7087.7,1.40229,0.69991,1.25704,0.86469,0.78234,0.84669,0.5001,1.37449,0.78778,1.34028,0.0010025,0.0010025,0.0010025
18,7502.22,1.38461,0.68404,1.25081,0.86968,0.79807,0.86474,0.50772,1.36899,0.74405,1.33812,0.000987031,0.000987031,0.000987031
19,7917.03,1.39003,0.68532,1.25117,0.85217,0.81896,0.87098,0.51458,1.367,0.73632,1.334,0.000971562,0.000971562,0.000971562
20,8330.38,1.37151,0.67651,1.2425,0.83877,0.8194,0.8632,0.51287,1.37283,0.7584,1.33561,0.000956094,0.000956094,0.000956094
21,8743.37,1.36931,0.68009,1.25027,0.85765,0.78827,0.84945,0.50116,1.37382,0.7643,1.34589,0.000940625,0.000940625,0.000940625
22,9157.08,1.37688,0.67901,1.24586,0.85242,0.80891,0.86118,0.51288,1.35839,0.75027,1.33826,0.000925156,0.000925156,0.000925156
23,9572.14,1.37283,0.67135,1.24725,0.8372,0.81035,0.85755,0.50974,1.35924,0.75957,1.3296,0.000909688,0.000909688,0.000909688
24,9986.24,1.37873,0.67724,1.24064,0.84755,0.80917,0.85679,0.50618,1.37243,0.77893,1.33002,0.000894219,0.000894219,0.000894219
25,10401.5,1.3658,0.67089,1.24006,0.86211,0.81187,0.86572,0.51388,1.35289,0.72898,1.33406,0.00087875,0.00087875,0.00087875
26,10816,1.36155,0.66454,1.23938,0.86032,0.8029,0.86348,0.51293,1.36299,0.75975,1.33493,0.000863281,0.000863281,0.000863281
27,11231.3,1.37302,0.66977,1.24279,0.83075,0.79154,0.84659,0.50655,1.35327,0.75587,1.32689,0.000847813,0.000847813,0.000847813
28,11645.6,1.35459,0.6486,1.23316,0.86164,0.82096,0.87341,0.52031,1.34401,0.73212,1.32293,0.000832344,0.000832344,0.000832344
29,12060.6,1.34455,0.65558,1.23688,0.84386,0.82425,0.86115,0.51291,1.35403,0.76182,1.32318,0.000816875,0.000816875,0.000816875
30,12475.1,1.3457,0.65285,1.23301,0.87333,0.80706,0.86962,0.5149,1.3553,0.7348,1.32126,0.000801406,0.000801406,0.000801406
31,12890.6,1.35885,0.64782,1.22737,0.84244,0.8228,0.86835,0.52171,1.35317,0.74065,1.31678,0.000785938,0.000785938,0.000785938
32,13304.4,1.34494,0.65249,1.22378,0.82194,0.81602,0.85425,0.50483,1.37063,0.74127,1.32986,0.000770469,0.000770469,0.000770469
33,13734.8,1.33504,0.63947,1.22167,0.86527,0.83192,0.87373,0.5198,1.35056,0.71723,1.3178,0.000755,0.000755,0.000755
34,14148.5,1.33786,0.64207,1.22149,0.82855,0.84467,0.86727,0.50847,1.3654,0.74053,1.32633,0.000739531,0.000739531,0.000739531
